Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CB,Defender,25,265,1,31,24,12,48
Aaron Cresswell,ENG,West Ham,"English Premier League, UEFA Europa League",LB,Defender,34,852,1,78,67,46,37
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,21,713,1,41,36,54,37
Aaron Malouda,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",LW,Forward,17,27,1,38,48,70,11
Aaron Ramsey,ENG,Burnley,English Premier League,RM,Midfielder,21,527,1,33,32,43,64
Aaron Seydel,GER,Darmstadt 98,German Bundesliga,AM,Forward,28,619,1,47,38,25,52
Aaron Wan-Bissaka,ENG,Manchester Utd,"English Premier League, UEFA Champions League",RB,Defender,26,1992,1,50,72,71,64
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,27,1376,1,35,60,56,30
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,21,1792,1,69,42,41,63
Abat Ajymbetow,KAZ,Astana FK,UEFA Europa Conference League,AM,Forward,28,99,1,24,26,33,15
Abdallah Sima,SEN,Rangers,UEFA Europa League,LW,Forward,22,520,1,77,54,65,85
Abde Ezzalzouli,MAR,"Barcelona, Betis","Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",AM,Forward,22,1465,1,43,42,87,74
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,25,2312,1,33,25,27,43
Abdellah Baallal,MAR,Clermont Foot,French Ligue 1,CM,Midfielder,19,4,1,27,12,7,37
Abdellah Raihani,MAR,Atlético Madrid,Spanish La Liga,AM,Forward,20,10,1,27,13,18,11
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,32,913,1,63,69,77,54
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,25,722,1,53,60,73,56
Abdou Harroui,NED,Frosinone,Italian Serie A,AM,Forward,26,1019,1,61,67,66,71
Abdoul Kader Bamba,FRA,Nantes,French Ligue 1,AM,Forward,29,611,1,66,76,82,69
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,193,1,45,38,60,52
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,31,2629,1,45,46,46,65
Abdoulaye Seck,SEN,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,31,791,1,73,26,23,56
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,30,2284,1,48,37,51,62
Abdukodir Khusanov,UZB,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",CB,Defender,20,961,1,39,37,34,55
Abdul Mumin,GHA,Rayo Vallecano,Spanish La Liga,CB,Defender,25,1694,1,56,28,27,48
Abdulrazaq Ishaq,NGA,Häcken,UEFA Europa League,RB,Defender,21,221,1,59,87,91,41
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,31,1270,1,65,46,25,53
Abdülkerim Bardakcı,TUR,Galatasaray,"UEFA Champions League, UEFA Europa League",CB,Defender,29,666,1,67,43,58,66
Abel Ruiz,ESP,Braga,"UEFA Champions League, UEFA Europa League",AM,Forward,24,423,1,25,27,30,21
Ablie Jallow,GAM,Metz,French Ligue 1,AM,Forward,25,918,1,61,58,59,53
Abner,BRA,Betis,"Spanish La Liga, UEFA Europa League",LB,Defender,23,1798,1,43,69,65,49
Abou Lô,SEN,Metz,French Ligue 1,CB,Defender,24,197,1,27,36,42,36
Aboubacar Ali,COM,Strasbourg,French Ligue 1,AM,Midfielder,18,130,1,39,37,62,21
Abzal Beisebekov,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,31,324,1,75,33,16,37
Achraf Dari,MAR,Brest,French Ligue 1,CB,Defender,24,121,1,51,31,18,58
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,25,2913,1,86,95,90,37
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa League,DM,Midfielder,24,358,1,38,68,38,54
Adam Hložek,CZE,Leverkusen,"German Bundesliga, UEFA Europa League",AM,Forward,21,904,1,64,69,59,55
Adam Karabec,CZE,Sparta Prague,UEFA Europa League,AM,Forward,20,207,1,30,54,48,46
Adam Lallana,ENG,Brighton,"English Premier League, UEFA Europa League",AM,Forward,36,919,1,33,76,36,39
Adam Marušić,MNE,Lazio,"Italian Serie A, UEFA Champions League",RB,Defender,31,3614,1,60,52,59,44
Adam Masina,MAR,"Torino, Udinese",Italian Serie A,CB,Defender,30,1088,1,41,47,37,51
Adam Obert,SVK,Cagliari,Italian Serie A,CB,Defender,21,941,1,55,65,54,47
Adam Ounas,ALG,Lille,"French Ligue 1, UEFA Europa Conference League",RW,Forward,27,571,1,64,82,86,68
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,33,2150,1,45,74,51,37
Adam Sørensen,DEN,Bodø/Glimt,UEFA Europa Conference League,LB,Defender,23,76,1,37,37,49,21
Adam Vlkanova,CZE,Viktoria Plzeň,UEFA Europa Conference League,AM,Forward,29,149,1,89,42,72,36
Adam Webster,ENG,Brighton,"English Premier League, UEFA Europa League",CB,Defender,29,1150,1,32,56,43,58
Adam Wharton,ENG,Crystal Palace,English Premier League,CM,Midfielder,19,1297,1,39,73,35,68
Adama Bojang,GAM,Reims,French Ligue 1,AM,Forward,19,83,1,32,36,60,64
Adama Traoré,MLI,Ferencváros,UEFA Europa Conference League,RM,Forward,28,503,2,71,76,87,72
Adame Faiz,FRA,Lille,UEFA Europa Conference League,AM,Forward,18,8,1,22,13,6,13
Adamo Nagalo,BFA,Nordsjælland,UEFA Europa Conference League,CB,Defender,21,445,1,46,63,37,34
Adel Mahamoud,COM,Nantes,French Ligue 1,AM,Forward,20,10,1,22,31,57,11
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Europa League",AM,Forward,26,2611,1,85,80,82,62
Admir Bristrić,BIH,Olimpija,UEFA Europa Conference League,AM,Forward,20,312,1,25,41,47,43
Adnan Januzaj,BEL,Sevilla,Spanish La Liga,RW,Forward,29,193,1,23,45,49,77
Adnan Kovačević,BIH,Raków,UEFA Europa League,CB,Defender,30,417,1,32,18,14,80
Adri Bosch,ESP,Granada,Spanish La Liga,CB,Defender,22,26,1,29,28,48,49
Adri Embarba,ESP,Almería,Spanish La Liga,LW,Forward,32,2476,1,51,59,63,73
Adrian Beck,GER,Heidenheim,German Bundesliga,AM,Forward,26,974,1,36,46,44,71
Adrian Grbić,AUT,Lorient,French Ligue 1,AM,Forward,27,31,1,19,13,23,37
Adrian Zeljković,SVN,Spartak Trnava,UEFA Europa Conference League,CM,Midfielder,21,521,1,31,24,36,61
Adrien Lebeau,FRA,Brest,French Ligue 1,AM,Forward,24,54,1,43,66,47,15
Adrien Rabiot,FRA,Juventus,Italian Serie A,CM,Midfielder,29,2651,1,77,65,71,70
Adrien Tameze,CMR,Torino,Italian Serie A,CB,Defender,30,2146,1,34,66,60,40
Adrien Thomasson,FRA,Lens,"French Ligue 1, UEFA Champions League",AM,Forward,30,1417,1,46,79,56,63
Adrien Truffert,FRA,Rennes,"French Ligue 1, UEFA Europa League",LB,Defender,22,2707,1,80,77,85,33
Adrià Altimira,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",RB,Defender,22,1058,1,42,60,69,31
Adrià Pedrosa,ESP,Sevilla,"Spanish La Liga, UEFA Champions League",LB,Defender,26,2080,1,71,74,78,44
Adrián Marín,ESP,Braga,UEFA Champions League,LB,Defender,26,23,1,29,30,28,9
